classNum,group,Team,PT,Final,Attendance,Participation,Extraversion,Agreeableness,Conscientiousness,Neuroticism,Openness
3,5,0.91,0.975,1,1,1,0.6,0.54,0.68,0.56,0.62
3,8,0.9075,0.975,1,1,1,0.42,0.72,0.68,0.58,0.74
2,5,0.9525,0.95,0.95,1,1,0.68,0.72,0.8,0.82,0.68
3,8,0.9075,0.975,0.966666667,1,1,0.62,0.6,0.62,0.64,0.7
3,4,0.8925,0.975,0.983333333,1,1,0.64,0.68,0.66,0.7,0.66
3,4,0.8925,0.975,0.966666667,1,1,0.48,0.6,0.58,0.78,0.6
3,10,0.8725,0.95,1,1,1,0.58,0.58,0.66,0.42,0.58
2,10,0.925,0.925,0.933333333,1,1,0.52,0.62,0.72,0.44,0.64
3,4,0.8925,0.975,1,1,0,0.52,0.58,0.52,0.64,0.58
2,5,0.9525,0.95,0.933333333,1,0,0.58,0.6,0.66,0.58,0.56
3,7,0.87,0.9,1,1,1,0.56,0.68,0.56,0.56,0.6
2,5,0.9525,0.95,0.883333333,1,0.5,0.54,0.64,0.58,0.68,0.64
3,11,0.875,0.9,0.983333333,1,1,0.66,0.7,0.62,0.48,0.66
3,8,0.9075,0.975,0.883333333,1,1,0.66,0.6,0.64,0.72,0.56
3,9,0.86,0.925,0.966666667,1,1,0.62,0.64,0.64,0.64,0.78
3,1,0.89,0.925,0.95,1,0.5,0.72,0.78,0.7,0.74,0.56
2,6,0.875,0.925,0.933333333,1,1,0.54,0.68,0.64,0.5,0.68
2,6,0.8375,0.94,0.966666667,1,1,0.6,0.6,0.5,0.6,0.6
3,8,0.9075,0.975,0.85,1,1,0.54,0.58,0.76,0.44,0.7
2,10,0.925,0.925,0.916666667,1,0,0.58,0.6,0.6,0.7,0.62
2,6,0.8375,0.94,0.983333333,1,0.5,0.62,0.52,0.56,0.6,0.56
3,3,0.8825,0.925,0.916666667,1,0.5,0.64,0.62,0.58,0.6,0.62
2,5,0.9525,0.95,0.833333333,1,0,0.68,0.62,0.6,0.62,0.6
3,1,0.89,0.925,0.916666667,1,0,0.62,0.7,0.66,0.72,0.52
3,3,0.8825,0.925,0.916666667,1,0,0.64,0.62,0.56,0.64,0.54
3,7,0.87,0.9,0.916666667,1,0.5,0.48,0.58,0.5,0.64,0.5
3,4,0.8925,0.975,0.866666667,1,0,0.6,0.64,0.56,0.6,0.58
2,10,0.915,0.925,0.833333333,1,0.5,0.54,0.5,0.58,0.58,0.52
2,3,0.8475,0.925,0.95,1,0,0.54,0.58,0.62,0.54,0.54
2,6,0.8375,0.94,0.916666667,1,0.5,0.68,0.7,0.7,0.76,0.64
2,4,0.8,0.94,0.966666667,1,0.5,0.58,0.6,0.58,0.6,0.6
3,2,0.885,0.89,0.883333333,1,0.5,0.64,0.66,0.62,0.64,0.54
3,6,0.8275,0.875,0.966666667,1,0.5,0.68,0.6,0.54,0.5,0.56
2,7,0.875,0.925,0.866666667,1,0.5,0.62,0.58,0.54,0.64,0.46
2,10,0.925,0.925,0.833333333,1,0,0.56,0.7,0.62,0.66,0.56
3,10,0.8725,0.95,0.883333333,1,0,0.56,0.58,0.52,0.54,0.56
3,1,0.89,0.925,0.933333333,0.75,0,0.56,0.7,0.64,0.48,0.58
3,6,0.8275,0.875,0.95,1,0.5,0.66,0.7,0.5,0.46,0.54
2,3,0.8475,0.925,0.916666667,1,0,0.62,0.6,0.64,0.66,0.62
3,5,0.91,0.975,0.833333333,0.75,0.5,0.74,0.58,0.6,0.66,0.66
3,2,0.885,0.89,0.883333333,1,0,0.64,0.62,0.46,0.68,0.52
3,11,0.875,0.9,0.883333333,1,0,0.7,0.7,0.6,0.64,0.56
2,8,0.835,0.825,0.95,1,0.5,0.6,0.6,0.58,0.78,0.5
3,11,0.875,0.9,0.833333333,1,0.5,0.58,0.66,0.58,0.7,0.64
3,10,0.8725,0.95,0.8,1,0.5,0.7,0.46,0.56,0.54,0.48
3,10,0.8725,0.95,0.8,1,0.5,0.66,0.68,0.62,0.84,0.6
3,9,0.86,0.925,0.783333333,1,1,0.56,0.56,0.62,0.6,0.54
3,10,0.8725,0.95,0.783333333,1,0.5,0.62,0.64,0.58,0.62,0.56
2,6,0.8375,0.94,0.783333333,1,1,0.6,0.8,0.66,0.76,0.6
3,7,0.87,0.9,0.783333333,1,0.5,0.62,0.72,0.7,0.72,0.66
3,7,0.87,0.9,0.783333333,1,0.5,0.5,0.58,0.62,0.52,0.6
3,3,0.8825,0.925,0.783333333,1,0,0.62,0.6,0.72,0.66,0.62
3,6,0.8275,0.875,0.883333333,1,0,0.56,0.6,0.56,0.58,0.56
2,2,0.7875,0.925,0.866666667,1,0.5,0.6,0.58,0.54,0.58,0.46
3,1,0.89,0.925,0.883333333,0.5,0,0.6,0.62,0.54,0.56,0.58
2,3,0.8475,0.925,0.833333333,0.75,0.5,0.68,0.72,0.66,0.42,0.6
2,4,0.8,0.94,0.916666667,0.75,0,0.6,0.6,0.58,0.74,0.58
2,2,0.7875,0.925,0.866666667,0.75,1,0.48,0.5,0.6,0.76,0.62
2,8,0.835,0.825,0.866666667,1,0,0.62,0.6,0.66,0.68,0.46
2,11,0.79,0.9,0.866666667,1,0,0.58,0.58,0.54,0.5,0.54
2,11,0.79,0.9,0.85,1,0,0.6,0.64,0.6,0.64,0.58
3,1,0.89,0.925,0.766666667,0.75,0,0.64,0.64,0.56,0.56,0.76
2,2,0.7875,0.925,0.866666667,0.75,0.5,0.56,0.68,0.74,0.44,0.48
2,9,0.785,0.875,0.85,1,0,0.64,0.68,0.62,0.64,0.54
2,4,0.8,0.94,0.783333333,1,0,0.6,0.64,0.62,0.62,0.54
2,9,0.785,0.875,0.833333333,1,0,0.56,0.56,0.56,0.84,0.54
2,9,0.785,0.875,0.833333333,1,0,0.52,0.58,0.64,0.46,0.52
3,2,0.885,0.89,0.816666667,0.5,0,0.64,0.76,0.7,0.44,0.6
2,11,0.79,0.9,0.933333333,0.5,0,0.58,0.58,0.64,0.62,0.58
2,8,0.835,0.825,0.883333333,0.5,0,0.62,0.58,0.54,0.64,0.46
3,11,0.875,0.9,0.6,1,0.5,0.56,0.56,0.66,0.62,0.56
2,3,0.8475,0.925,0.85,0.25,0,0.58,0.54,0.6,0.66,0.56
2,11,0.79,0.9,0.866666667,0.5,0,0.58,0.68,0.54,0.5,0.48
3,9,0.86,0.925,0.55,1,1,0.6,0.7,0.66,0.42,0.68
3,6,0.8275,0.875,0.683333333,1,0,0.62,0.58,0.64,0.74,0.54
2,4,0.8,0.94,0.4,1,1,0.66,0.7,0.76,0.48,0.68
2,11,0.79,0.9,0.4,1,0,0.64,0.66,0.66,0.62,0.66
2,9,0.785,0.875,0.4,1,0,0.58,0.6,0.66,0.68,0.6
2,6,0.8375,0.94,0.266666667,1,0,0.6,0.62,0.7,0.48,0.56
3,11,0.875,0.9,0.266666667,0.75,0,0.48,0.68,0.66,0.78,0.52
3,6,0.8275,0.875,0,1,1,0.56,0.62,0.52,0.66,0.58
2,6,0.875,0.925,0,0.75,0,0.62,0.54,0.52,0.7,0.48